inode,State,uid,ProcessInfo,LocalAddr,LocalPort,RemoteAddr,RemotePort
" 783045",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[783045]"",
 ""Type"": ""socket"",
 ""Inode"": ""783045""
}",192.168.52.138,60666,3.115.85.124,443
" 778859",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[778859]"",
 ""Type"": ""socket"",
 ""Inode"": ""778859""
}",192.168.52.138,35724,104.19.147.8,443
" 782286",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[782286]"",
 ""Type"": ""socket"",
 ""Inode"": ""782286""
}",192.168.52.138,39776,27.123.43.205,443
" 417056",Established," 126","{
 ""Pid"": 59776,
 ""Command"": ""node\n"",
 ""CommandLine"": ""/usr/share/wazuh-dashboard/node/bin/node\u0000--no-warnings\u0000--max-http-header-size=65536\u0000--unhandled-rejections=warn\u0000/usr/share/wazuh-dashboard/src/cli/dist\u0000-c\u0000/etc/wazuh-dashboard/opensearch_dashboards.yml\u0000"",
 ""Filename"": ""socket:[417056]"",
 ""Type"": ""socket"",
 ""Inode"": ""417056""
}",127.0.0.1,50604,127.0.0.1,9200
" 417057",Established," 126","{
 ""Pid"": 59776,
 ""Command"": ""node\n"",
 ""CommandLine"": ""/usr/share/wazuh-dashboard/node/bin/node\u0000--no-warnings\u0000--max-http-header-size=65536\u0000--unhandled-rejections=warn\u0000/usr/share/wazuh-dashboard/src/cli/dist\u0000-c\u0000/etc/wazuh-dashboard/opensearch_dashboards.yml\u0000"",
 ""Filename"": ""socket:[417057]"",
 ""Type"": ""socket"",
 ""Inode"": ""417057""
}",127.0.0.1,50616,127.0.0.1,9200
" 417058",Established," 126","{
 ""Pid"": 59776,
 ""Command"": ""node\n"",
 ""CommandLine"": ""/usr/share/wazuh-dashboard/node/bin/node\u0000--no-warnings\u0000--max-http-header-size=65536\u0000--unhandled-rejections=warn\u0000/usr/share/wazuh-dashboard/src/cli/dist\u0000-c\u0000/etc/wazuh-dashboard/opensearch_dashboards.yml\u0000"",
 ""Filename"": ""socket:[417058]"",
 ""Type"": ""socket"",
 ""Inode"": ""417058""
}",127.0.0.1,50618,127.0.0.1,9200
" 417059",Established," 126","{
 ""Pid"": 59776,
 ""Command"": ""node\n"",
 ""CommandLine"": ""/usr/share/wazuh-dashboard/node/bin/node\u0000--no-warnings\u0000--max-http-header-size=65536\u0000--unhandled-rejections=warn\u0000/usr/share/wazuh-dashboard/src/cli/dist\u0000-c\u0000/etc/wazuh-dashboard/opensearch_dashboards.yml\u0000"",
 ""Filename"": ""socket:[417059]"",
 ""Type"": ""socket"",
 ""Inode"": ""417059""
}",127.0.0.1,50634,127.0.0.1,9200
" 777458",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[777458]"",
 ""Type"": ""socket"",
 ""Inode"": ""777458""
}",192.168.52.138,52180,104.20.23.25,443
" 792048",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[792048]"",
 ""Type"": ""socket"",
 ""Inode"": ""792048""
}",192.168.52.138,38144,34.142.217.223,443
" 781280",Established," 1000","{
 ""Pid"": 66759,
 ""Command"": ""firefox\n"",
 ""CommandLine"": ""/snap/firefox/7836/usr/lib/firefox/firefox\u0000"",
 ""Filename"": ""socket:[781280]"",
 ""Type"": ""socket"",
 ""Inode"": ""781280""
}",192.168.52.138,43276,35.71.178.8,443
